author,body,datalegacylang
DolceCucina3,@IngrahamAngle Trump should be deporting millions and has the pen power to shutdown all immigration from africa\‚ india and middle east but instead he’s waging another bankrupting jewish war. Sad! #ENDOPT #ENDH4 #MassDeportationsNow https://t.co/z5syEVl6Uj,en
DolceCucina3,@GovNedLamont You’re a pos traitor who does NOTHING but turn beautiful CT into an illegal crime sanctuary while turning us Americans into tax slaves.  Traitors like you and @AGWilliamTong should be denaturalized&amp;deported @GovNedLamont #TRAITOR #MassDeportationsNow https://t.co/WYcCtcPxbi,en
DolceCucina3,@NBCNews Just 300? Should be 30 MILLION denaturalized&amp;deported #MassDeportationsNow https://t.co/zIlD57aNAA,en
gijoe_abn,@azcentral Just cram them into existing facilities. Maybe they will self-deport quicker. #MassDeportationsNow was on the ballot and won. Get on with it.,en
ann84761464,@thegavinbarry @CBCNews I love the extra touch of sympathy about his child having medical issues. How about all the people you killed?  Get out of Canada 🇨🇦   Should have deported him years ago   #massdeportationsnow   #canada  #ontario,en
Amy265456699027,WESTERN WORLD NEEDS TO PROTECT WOMEN AND OUR CHILDREN! #MassDeportationsNow https://t.co/WeWsVfxJm7,en
DolceCucina3,@NBCNews Good.  Why tf would we let them here?  #MassDeportationsNow https://t.co/nDHEbvCgLn,en
DolceCucina3,@PressSec Do the millions of mass deportations we voted for\‚ end OPT\‚ end H4 chain migration visas and END THiS STUPID FUCKING WAR WITH IRAN.  We voted for peace not war! #AmericaFIRST #MassDeportationsNow https://t.co/c7w4t4qnxV,en
hatespeechbarbi,@BlondeBigot11 @HillBilly_Baby lol that’s probably just the Indians from Brampton alone \‚ nevermind the rest of Canada lol #massdeportationsnow,en
WhiteCanada22,Another non who violates every standard of decency a civilized society has.  Another day where the Anti-Whites in our system continue inflicting these people on us as if they\'re normal.  One day...    #MassDeportationsNow https://t.co/AhLDC3bYbP,en
gijoe_abn,@RepKamlagerDove Stop protecting these monsters. #MassDeportationsNow  https://t.co/YTHgqn995R,en
DolceCucina3,@nytimes Hundreds? I voted for millions to be deported #MassDeportationsNow https://t.co/scrcGzk6E2,en
DreamingDavey,@DemetriusRO6 Instead half of Africa is here and we’re full! 🖕🏼#MassDeportationsNow https://t.co/f63Nuv0A47,en
sweetdizzydee,I don’t want my new country turing into this! #MassDeportationsNOW  @ABDanielleSmith   #AlbertaIndependence,en
gijoe_abn,@nathanTbernard As #MassDeportationsNow ramp up\‚ many overwhelmed services will be eased:  Estimates of taxpayer funds spent on healthcare for undocumented immigrants vary from over $16 billion in federal/state funds for emergency services to as high as $21 billion to $27 billion annually.,en
DolceCucina3,@realBrandonGill @TimRunsHisMouth @JohnCornyn is a traitor who should be deported and forever exiled from America #TRAITOR #MassDeportationsNow https://t.co/nRvLmGesYS,en
DolceCucina3,@DemzDeliver We should ban blacks instead to make America great again #RepealCRA #MassDeportationsNow https://t.co/OU5WFmxBzQ,en
gijoe_abn,@axios Rather than allowing millions of illegals to roam free draining resources and many committing horrific crimes\‚  holding them pending deportation makes perfect sense. Pick up the pace. #MassDeportationsNow  https://t.co/WLmj8x7UC6,en
gijoe_abn,@CBSNews As millions of illegals leave lots of problems will be eased. #MassDeportationsNow,en
gijoe_abn,@CNN As #MassDeportationsNow ramp up and millions of illegals leave\‚ many vacancies will become available.,en
gijoe_abn,@HuffPost People like this need to be denaturalized and jailed.  #MassDeportationsNow  https://t.co/YTHgqn995R,en
DreamingDavey,@LucasSa56947288 We only hate unassimilating immigrants like you\‚ fucker 🖕🏼#MassDeportationsNow https://t.co/TjF312s1vq,en
DreamingDavey,Lmao sorry no job for you here In Canada! 🖕🏼🇨🇦 turban head Muhammad and his 8 kids and 4 wives took the last posts. 😂 #MassDeportationsNow,en
DreamingDavey,Good we’ve had enough criminals and women beaters here as it is\‚ stay out fuckheads! #MassDeportationsNow,en
DreamingDavey,@MaximeBernier More immigrants and old libtards killing and destroying the lives of our own. #MassDeportationsNow https://t.co/YM0wn8F4R5,en
MonicaB927,#MassDeportationsNow @BrandonStraka @RealWalkAway @DNC @BarackObama @JoeBiden @KamalaHarris @AliMayorkas allowed this invasion,en
rdsanchezjr,@bofrench @Oilfield_Rando AWFUL!! 🤬🤬🤬🤬🤬 #MassDeportationsNOW #AmericaFirst🇺🇸,en
Lvreagan,@realDonaldTrump @StephenM @SecMarkwayneM import the Third World\‚ become the Third World.  #MassDeportationsNow,en
MonicaB927,Unbelievable @RandPaul @lisamurkowski @LeaderJohnThune @SecRubio @POTUS @VP #MassDeportationsNow,en
DolceCucina3,@JudiciaryDems Deport all the illegals AND the legal indians you traitorous c¥nt #TRAITOR #MassDeportationsNow https://t.co/H7MSPj1nh8,en
MonicaB927,It probably looks the same with the USA.  🇺🇸 just add millions more #MassDeportationsNow,en
DolceCucina3,@GovNedLamont Cut ALL public benefits charges and deport all the illegals you traitorous c¥nt @GovNedLamont #TRAITOR #MassDeportationsNow,en
surelymissed,"""\""I don’t know how the ‘Refugees Welcome’ brigade sleep at night\"" is puzzling to every decent 🇬🇧 patriot.   #MassDeportationsNow 🔜☑️""",en
OlliesMom47,Shut it down.  #MassDeportationsNow   @RealTomHoman  @SecRubio   @ICEgov,en
gijoe_abn,@Rep_Stansbury The blank checks have gone to the millions of illegals who drain resources with many committing horrific crimes documented daily. #MassDeportationsNow,en
gijoe_abn,@JudiciaryDems The American people want #MassDeportationsNow Stop obstructing.,en
DreamingDavey,@yanickmproulx All bs\‚ it’s Time to kick these stupid immigrants OUT. 🖕🏼#MassDeportationsNow https://t.co/CWvYHgMxcu,en
gijoe_abn,@capecodtimes Immigrant rights organizations can assist illegals the most by helping them self-deport on their own terms while they still can. #MassDeportationsNow is not going away.   https://t.co/553tXNK1iD,en
gijoe_abn,@CNN #MassDeportationsNow was on the ballot and won. Polls today show a majority of Americans support deporting all illegals. Pick up the pace. Millions of illegals are draining resources with many committing horrific crimes documented daily.,en
MonicaB927,Facts #MassDeportationsNow @POTUS @VP @SecRubio @DHSgov @ICEgov @RealTomHoman @SecMullinDHS @chiproytx,en
MonicaB927,Causing American citizens an affordability problem after allowing millions of illegals in causing our housing/rental prices increase while also giving them free benefits.  #MassDeportationsNow @ChrisMurphyCT,en
MonicaB927,@SecScottBessent we have an illegal immigration problem.  Take all the free money away and de bank them\‚ they will self deport.  #MassDeportationsNow @POTUS @VP @SecRubio,en
MonicaB927,@DonJBacon we have an affordability crisis which a good part of it is from 4 years of leaving our border open and letting millions of illegals which started during covid &amp; they weren\'t required to be vaccinated.  #MassDeportationsNow will continue to lower housing/rental prices,en
DreamingDavey,@drhossamsamy65 Nice bs for libtards and demoncrats to reshare immigrant scum 🖕🏼#MassDeportationsNow https://t.co/APwR6tWQPk,en
gijoe_abn,@BostonGlobe Truly outrageous to obstruct enforcement of immigration law. #MassDeportationsNow isn\'t going away. Help illegals self-deport while they still can. Stop protecting these monsters:  https://t.co/GUb8erZ3MY,en
MonicaB927,@RepMariaSalazar @RepMikeLawler @DNC @JoeBiden @KamalaHarris @AliMayorkas @BarackObama allowed this @RealWalkAway @BrandonStraka #MassDeportationsNow @stephenasmith @billmaher,en
MonicaB927,That’s a big reason why our rents/housing went up.  #MassDeportationsNow @VivekGRamaswamy @DNC @TheDemocrats @ananavarro @GoldbergWhoppi @stephenasmith @billmaher @NYCMayor @AOC @Ilhan @BrandonStraka @RealWalkAway,en
679rex81055,@ChibiReviews Mass deport all Islam swine now #StopMulticulturalism #MassDeportationsNow #banislam #banmuslim #bankurdis #banmosque #saveShinto #saveBuddhist #savejapan #protectjapan #banjews https://t.co/I5NhpUvXAF,en
lisal356,@DC_Draino REMOVE JOHN THUNE!  NO SAVE ACT = NO FISA!  Get a REAL Republican Leader!  #MassDeportationsNow   NO AMNESTY!   KILL THE DIGNIDAD ACT!  What about dignity for Americans?,en
679rex81055,@MadamSavvy Mass deport all Islam swine now #StopMulticulturalism #MassDeportationsNow #banislam #banmuslim #bankurdis #banmosque #saveShinto #saveBuddhist #savejapan #protectjapan #banjews https://t.co/KoDmnoRpwD,en
SandMan99588,Good!! People should spend their hard earned money without telling them what they have to buy!!    The 2026 Restoration is finally hitting the radicals where it hurts their illegal mandates are finito    #LockUpTheCorruptedSenators #DeportTheIllegalSenators  #MassDeportationsNow,en
lisal356,@WhiteHouse #MassDeportationsNow NO AMNESTY! SEND THEM HOME!  DON\'T REWARD CRIMINALS!,en
