author,body,datalegacylang
eAnKt8fTsTThYG3,@Samesamaalways #boycottchina https://t.co/XYToNQUwC0,qme
TiTi_Es_87,#BoycottChina\n#MadeinChina\n#StopChina,qht
eAnKt8fTsTThYG3,@lululiinaa #boycottchina https://t.co/sAwSPw5W9i,qme
Rosenrot2026,@RueRarue2025 #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina\n@PETA\n@HSIGlobal\n@fourpawsint\n@AnimalsAsia\n@amnesty\n@hrw\n@whyyoutouzhele https://t.co/yA69ByuQrU,qme
Rosenrot2026,@Cockato47613097 #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina https://t.co/CQToPCVkoA,qme
Rosenrot2026,@animals_cn #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina https://t.co/71X1xkIc8d,qme
Rosenrot2026,@Cowgyrlie @animals_cn @XHNews @PDChina @ChinaDaily @PDChinaLife @USA_China_Talk @chinaorgcn @SCMPNews #BoycottChina\n#BoycottChineseProducts\n#BoycottMadeInChina\n#StopAnimalCruelty\n#StopAnimalCrueltyChina https://t.co/Zh9Aql8mO4,qme
RueRarue2025,#中国に動物虐待禁止法の制定を求める 🐶😿\n#China #BoycottChina 🇨🇳,qme
RueRarue2025,#中国に動物虐待禁止法の制定を求める 🐶😿\n#China #BoycottChina 🇨🇳,qme
Kangarooei,Disgusting Country #BoycottChina,en
No_More_China,We let these people migrate to Australia and buy our properties. #BoycottChina,en
No_More_China,So sustainable. \n#BoycottChina,en
tisdaleorwhat,"China has:\nNO animal protection laws\nNO real ban on smoking (even where regulations exist, they’re just on paper and never enforced)\n\nThese are two key markers of a civilized society, and China lacks both.\n\n#boycottchina #chinaanimalabuse",en
Shambhalawot1,#CommunismKills\n#BoycottChina\nThis is exactly what happens when the only value a Communist system gives people is to serve as cogs to serve the machine.,en
yadavnarender85,"@Kangarooei #BoycottIndia. What a terrible thing to do, the unevolved brutes need extermination!!! This is heartbreaking 💔. As bad as #BoycottChina as well. 😡🤬☠️💔😢",en
eAnKt8fTsTThYG3,@Samesamaalways #boycottchina https://t.co/Wixx3xswbM,qme
eAnKt8fTsTThYG3,@barzallo_j @SpokespersonCHN @XinhuaChinese @cgtnamerica @PeopleChina @kouhoubuchn @jenniferzeng97 @MFA_China @china_epoch @SpoxCHNinUS @PDChinese @Cloudflare @PDChina @XHNews @CNN @xiefeng @ABC #boycottchina https://t.co/pYI6k921K7,qme
AlexS_2902,@brahma_4u Chinese thieves! #BoycottChina,en
AlexS_2902,@Anura_Indo #boycottChina,qme
Kangarooei,"Could it be they are unevolved. Look at the way they treat animals, cruel and disgusting, 😡🤬Boycott India #BoycottChina 😡🤬",en
