author,body
🇹🇷 🐺𐱅𐰼𐰇𐰰 🐺🇹🇷,ÖZGÜR DOĞU TÜRKİSTAN…!\n#FreeUyghurs \n#Freeuyghur \n#Stopchina https://t.co/s1OJmqgAuA
Emre T.,Doğu Türkistanda kardeşlerimize yapılan zulme dur diyoruz!\n\n#StopChina
Xiang 翔,"""China's Shi Taifeng tours Gansu &amp; Sichuan to push \""Sinicization\"" of Tibetan Buddhism—forcing monks to pledge loyalty to the CCP over Dalai Lama. Cultural genocide in plain sight. #StopChina #FreeTibet #ChinaLies\nhttps://t.co/oNtqmgGx1x"""
South China Sea Insights,"China’s push to “develop” 11,000 islands is blatant militarization disguised as governance. Artificial bases threaten peace, resources, and sovereignty across Asia. #SouthChinaSea #StopChina https://t.co/hCaavn2hcQ"
Xiao Bao (小宝),"China’s bid to “build up” 11,000 islands is nothing but aggressive expansion cloaked in governance. Artificial bases, militarization, and resource grabs threaten regional peace. #SouthChinaSea #StopChina   https://t.co/Gw3fWQekfE https://t.co/Ya3VI1MRx5"
KaigaiSumi,🥳👏\nこれに反対しているのは&lt;中国勢力だけ&gt;#StopChina\n\n今回の日本の防衛装備品海外輸出の正当性を示しているかと👏
KaigaiSumi,@afpbbcom 旧宗主国のアフリカ植民地支配続く~などと露中のプロパガンダを信じていた人々にも👇政権を汚職で抱え込み、現地の人々を搾取しているのは、中国であることが、ご理解いただけるかと存じます #StopChina https://t.co/mFlmqD9fBs
T sibaken,"@lico337 China violates international rules daily, yet you stay silent. Go hold your rallies at the Chinese Embassy! Tell the aggressor to stop the war, not us. Show some consistency for once. #StopChina #XiJinping"
Just A Humble Reader,@JoelTheDane @Tuffen78 So it is a 🇷🇺&amp;🇨🇳 war against Ukraine now.\n#Stoprussia\n#Stopchina \n#UkraineInNATO https://t.co/nlmnnjk0uc
inci,Bu insanların sesi olmak için yeterince çabalamıyoruz. Bu çocuklar bizim çocuklarımız da olabilirdi #doğutürkistan #uygur #stopChina
titi,"@Albertico2020CC @desdebalcon @mariabages1 @PROFEPA_Mx China! jajaja exige todo eso para torturar todo tipo de Animales y ganar dinero con su contenido, no pues que gran paso dio china! mientras que los animalitos se chinguen si tienen un  título no hay problema! 🇨🇳 \n#stopchina\n#ChinaEvil\n#Boycottchina"
