author,body,datalegacylang
wh0isbanshee,@Kangarooei #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
No_More_China,Good question. Starting to happen in Australia too. #BoycottChina,en
No_More_China,How do Chinese government officials allow this level of criminal incompetence to continue? Corruption and a complete apathy to human life without consequences. We should no longer allow Chinese nationals to migrate to western countries. #BoycottChina,en
No_More_China,To think Chinese nationals would do anything different when they migrate to the west is naive and stupid. We shouldn’t allow these people to con their way into our civilised societies through scam education or investment visas. #BoycottChina,en
Marcemgffvg,"This cat torturer and killer, part of a Telegram network responsible for the torture and murder of over 1000 cats, has been arrested.  Thanks to the Chinese activists and volunteers for not giving up, for their courage in achieving this arrest #BoycottChina #StopAnimalCruelty",en
wh0isbanshee,@domdyer70 #中国猫のSOS \n#中国猫の拷問ビジネス \nShame on China 💢\n\n#BoycottChina #StopChinaCatTorture \nHow long more will China government stay silent against evil cat killers in this country?💢\n\n#StopAnimalCruelty \n\n#SaveYulinDogs #StopYulinForever #BanAnimalCrueltybyLaw,en
wh0isbanshee,"@animals_cn DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA!\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA.\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n\n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
wh0isbanshee,"@abuserdatabase DO SOMETHING, CHINA.\n#StopAnimalAbusersChina #ChinaNeedsAnimalLaw #BoycottChina #ShameOnChina #China \n@SpokespersonCHN\n@XinhuaChinese\n@cgtnamerica\n@PeopleChina\n@kouhoubuchn\n@jenniferzeng97\n@MFA_China\n@china_epoch\n@SpoxCHNinUS\n@PDChinese\n@Cloudflare\n@PDChina @XHNews @cnn @XieFeng",en
Kangarooei,"Ffs, Chinese have no idea , they will eat bloody anything with eyes, they have no animal welfare laws, evolve you shit bags.#BoycottChina",en
