author,body,datalegacylang
Satnsfrnd,@koshercockney @LizaRosen0000 Palestinians are terrorists! #October7massacre #HamasTerrorists,ca
w0tn0t2201,@NorthBelle4 @AlboMP @SenatorWong These @AustralianLabor scumbags are providing OUR taxpayer funds to Islamic mobs (#UNRWAIsHamas &amp; #ANIC) &amp; both support Palestine (controlled by #HamasTerrorists) https://t.co/9RQmwGh2Kw,en
w0tn0t2201,@NorthBelle4 This low-life #AkhbarAlbozo PM grub always was pro-Palestine (controlled by #HamasTerrorists).\nAfter the Bondi Islamist terrorist attack by #ISISTerorrist activists the scum immediately claimed there is no place for #Islampohobia!! Its unbelievable! https://t.co/vl4toUh5qE,en
metalsello,#España #HamasTerrorists,qht
AmanteCiud5885,@AmyMek @TRobinsonNewEra #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #demonrats #criminal #somalipirates,qme
AmanteCiud5885,@DNC = #EvilBastards #HamasTerrorists #jihadists #criminals #jailAntifa #antifathugs #somalipirates #antifaterrorists \nhttps://t.co/JdF8Y2474K,und
tondouxregard,"@DrLiz16 @librepenseure Ça a commencé dès les années 90, quand l'Iran faisait assassiner ses opposants, notamment Kurdes,dans les pays démocratiques où ils s'étaient réfugiés. #HamasTerrorists #FemmeVieLiberte",fr
AmanteCiud5885,@RobSchneider #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #predators,qme
billetsdudr,@amnestyitalia @gallaghereport Histoire qu’il réorganise son unité de combattants des #HamasTerrorists,fr
YeganExile7,"@NoaMagid Hamas and IRGC are brutal, barbaric criminals and a danger to both humanity and animals. My heart hurts💔😭\n#HamasTerrorists\n#IRGCTerrorists",en
IranianLover19,"Long Live Israel 🇮🇱♥️\nAll Hamas Terrorists and their supporters, No matter where they are, will receive the Justice of Israel !\n#ThanksIDF \n#HamasTerrorists \n#IRGCterrorists",en
AmanteCiud5885,@TRobinsonNewEra #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #Londonhasfallen #predators,qme
AmanteCiud5885,@LizaRosen0000 #Londonhasfallen @MayorofLondon = #taqiyya #HamasTerrorists #jihadists #criminals #jailAntifa #antifathugs #antifaterrorists,und
AmanteCiud5885,@mrddmia @willchamberlain #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #demonrats #fraudsters #somalipirates #antifathugs #jailAntifa #antifaterrorists,qme
AmanteCiud5885,@realDailyWire @RepOgles #HamasTerrorists #EvilBastards #jihadists #criminals #antifathugs #jailAntifa #antifaterrorists,qme
AmanteCiud5885,@TRobinsonNewEra #HamasTerrorists #EvilBastards #DeportThemAll #jihadists #Chicagohasfallen,qme
AmanteCiud5885,@PressSec @mirandadevine @splcenter = #fakenews #EvilBastards #HamasTerrorists #fraudsters #somalipirates #criminals #antifathugs #jailAntifa #antifaterrorists,und
AmanteCiud5885,@ACTBrigitte @splcenter = #fakenews #EvilBastards #HamasTerrorists #fraudsters #somalipirates #criminals #antifathugs #jailAntifa #antifaterrorists,und
